model,status,best_cv_rmse,train_r2,train_rmse,train_mae,valid_r2,valid_rmse,valid_mae,best_params,overfit_gap_r2,error
xgboost,ok,1500.2822126547903,0.7289505483774568,956.0001364590399,786.1065124511719,0.6516278071864675,1168.0571931589661,932.7069393382352,"{""n_estimators"": 200, ""max_depth"": 3, ""learning_rate"": 0.05, ""subsample"": 0.65, ""colsample_bytree"": 0.4, ""min_child_weight"": 9, ""gamma"": 0.8, ""reg_alpha"": 12.0, ""reg_lambda"": 8.0}",0.07732274119098925,
random_forest,ok,1493.4903321043705,0.743515399917837,929.9601414657908,735.0634237362258,0.6083979348392192,1238.4111510156713,881.7122415643611,"{""n_estimators"": 250, ""max_depth"": 5, ""min_samples_split"": 6, ""min_samples_leaf"": 1, ""max_features"": 0.3, ""bootstrap"": true, ""max_samples"": null, ""ccp_alpha"": 0.001}",0.13511746507861777,
linear_regression,ok,2602.715279358253,0.4594349066709382,1350.0743517392011,1083.7332939240896,0.5402008336915094,1341.9194784891424,1129.5078120845778,"{""fit_intercept"": true}",-0.08076592702057117,
elastic_net,ok,1716.3599730056771,0.29166368015152544,1545.4446062785935,1242.7295684282785,0.31933314273690505,1632.71231864685,1234.1840500078915,"{""alpha"": 10.0, ""l1_ratio"": 0.8, ""fit_intercept"": true}",-0.02766946258537961,
