uuid,sowing_cost_yuan_per_ha,irrigation_device_cost_yuan_per_ha,irrigation_running_cost_yuan_per_ha,fertilization_cost_yuan_per_ha,total_cost_yuan_per_ha
79537b58-21d4-4e6e-a644-eb1992a4da4a,1015.0500000000001,1215.0,163.65,1395.0,12723.45
9505846a-4621-4b56-9290-de98d4e48416,1216.65,1215.0,193.04999999999998,1395.0,12954.45
acf92bd1-ac73-4dbe-96d5-e73613c1b6a7,1275.0,1500.0,300.0,3000.0,14475.0
59102a01-8ef3-42d2-9fb2-9e5262ac7654,952.5,1005.0,393.75,1800.0,9899.25
1447714a-71ff-464f-990b-afe34e3372f4,1054.5,187.5,1263.0,1845.0,9357.0
b01bb35b-829f-453d-87d5-e6fd77f1b786,1000.5,1215.0,151.5,1395.0,12696.75
a4e6021d-01cc-480f-92aa-44a381b948d1,1024.5,0.0,622.5,2130.0,12081.75
221010fc-640e-4325-9798-e2262804f456,1084.65,1215.0,117.14999999999999,1395.0,12746.55
65b77cc1-35c9-4589-9a32-c40bded09012,1292.25,1005.0,292.5,1800.0,10512.75
ebbb81ed-2729-4799-b9be-435a1130f8f0,1082.1,1942.5,408.0,1875.0,12063.300000000001
d0b82908-df7c-43ff-b6fd-905b73e16d5e,1170.0,1800.0,510.0,2625.0,10905.0
d72a3f56-7423-4b63-a882-6d0019326a4b,1170.0,1800.0,510.0,2625.0,10905.0
c5bf8362-80cd-4dde-b219-75fdb31f62ec,1140.0,600.0,510.0,2550.0,11925.0
0fc95e62-57a6-40fb-887e-9bce7fc3dbde,1140.0,1500.0,457.5,2550.0,12772.5
847a895e-8c84-4da4-87e0-4181ea5d978d,1320.0,1500.0,510.0,2550.0,13005.0
0de8653e-b943-415d-b32b-995e91e22e6d,1320.0,1950.0,255.0,1950.0,11100.0
4bb4e02c-261d-4ec8-9d43-27c06fd18308,1320.0,1950.0,255.0,1950.0,11100.0
62637b29-10fb-48ba-a46c-cad549eb89a7,1320.0,1950.0,255.0,1950.0,11100.0
ab75e0dc-5f0b-4acb-9c27-0d84eea7ad07,1500.0,0.0,0.0,3450.0,9900.0
177740b0-bb26-4dbf-a91e-b1b759bc37aa,978.45,1200.0,236.1,2328.75,9513.300000000001
a01e1a55-59a2-4e37-9470-d863edfee5ff,1275.0,975.0,570.0,2970.0,14962.5
1353fe97-d013-4582-8382-7402401fe645,1275.0,1500.0,300.0,3000.0,15225.0
f8f62038-89fa-472d-89e5-15a54243abd0,1530.0,2520.0,475.5,2577.75,15443.25
4869d4a2-3456-46ef-8ec1-15394dd43ff6,1530.0,2520.0,475.5,2577.75,15443.25
9cb320ea-e27d-4e46-81f3-715fd8188f26,1275.0,975.0,570.0,2970.0,14962.5
dd456216-88ea-42ee-9a1e-7d828dcf80d6,1275.0,1500.0,300.0,1980.0,11205.0
6cd7c375-ec99-4aca-89fc-14a4b6092cd8,1275.0,1800.0,0.0,2475.0,12030.0
a3164280-e54a-46d6-baaf-fbdaff034e2d,1275.0,1500.0,300.0,3000.0,12225.0
