uuid,Region,Sow_DOY,Density,Fer_N,Fer_P,Fer_K,Fer_Count,Pest_Count,Pest_Cost,Irr_Count,Irr_Elec,Irr_Sprinkler,Irr_None,Irr_Drip,Irr_Flood,Lodging,Precip,Rad,RH,Wind,Yield,observed_irrigation_mode,sowing_cost_yuan_per_ha,irrigation_device_cost_yuan_per_ha,irrigation_running_cost_yuan_per_ha,fertilization_cost_yuan_per_ha,total_cost_yuan_per_ha
62637b29-10fb-48ba-a46c-cad549eb89a7,1,172,74970,175.5,87.75,81.0,1,0,0.0,1,300.0,0,0,1,0,0,517.7,1832.25,74.89,7.57,10690.8,Drip,1320.0,1950.0,255.0,1950.0,11100.0
6298dce3-29b5-4cfa-9af2-d53ec255c0f6,1,162,56070,325.5,37.5,75.0,2,1,270.0,1,300.0,1,0,0,0,0,486.7,2029.16,73.1,7.69,9040.05,Sprinkler,1170.0,450.0,255.0,2265.0,12285.0
62ae1eec-313b-4b9c-9710-199a79074029,1,174,83940,206.25,82.5,82.5,1,3,172.5,2,900.0,1,0,0,0,0,513.9,1791.35,74.93,8.3,8552.7,Sprinkler,1275.0,975.0,570.0,2970.0,14962.5
65b77cc1-35c9-4589-9a32-c40bded09012,0,163,50550,150.0,30.0,30.0,1,2,498.0,1,244.575,1,0,0,0,0,547.8,1819.96,74.76,8.33,8183.1,Sprinkler,1292.25,1005.0,292.5,1800.0,10512.75
6cd7c375-ec99-4aca-89fc-14a4b6092cd8,1,169,68220,195.0,90.0,90.0,1,3,480.0,0,0.0,0,0,1,0,20,475.7,1875.46,73.89,8.93,11409.75,Drip,1275.0,1800.0,0.0,2475.0,12030.0
6cedb50a-8f59-445e-bfa1-05bb0ad2aff5,1,163,73440,234.3,47.59125,85.92675,3,2,741.15,0,0.0,0,1,0,0,0,448.4,2002.67,72.45,8.01,11336.25,NoIrrigation,1260.0,0.0,0.0,2819.25,10070.4
70c4cde2-3bc3-46e1-a2f1-8ed38af2e9b6,1,185,56700,105.0,45.0,41.25,1,0,0.0,0,0.0,0,1,0,0,0,408.2,1594.62,76.42,8.42,7027.2,NoIrrigation,1140.0,0.0,0.0,1275.0,9915.0
77c842b9-6e80-48b9-b0e5-e7cf6938c438,1,169,65220,195.0,90.0,90.0,1,3,480.0,0,0.0,0,0,1,0,9,475.7,1875.46,73.89,8.93,8789.1,Drip,1350.0,1800.0,0.0,2475.0,12105.0
79537b58-21d4-4e6e-a644-eb1992a4da4a,0,173,53385,182.25,40.5,47.25,1,2,684.75,1,355.8,0,0,1,0,0,499.0,1630.71,76.87,6.7,8075.85,Drip,1015.05,1215.0,163.65,1395.0,12723.45
7a7e033a-0b15-4681-9bb1-866861238308,1,171,52530,132.0,48.0,60.0,1,2,750.0,0,0.0,0,0,0,1,0,426.5,1849.93,75.89,8.36,9025.2,Flood,1650.0,0.0,0.0,2700.0,9975.0
7bed8669-4f0e-4931-be21-82fb77a658e5,1,171,68790,234.3,47.59125,85.92675,3,2,741.15,0,0.0,0,1,0,0,0,433.2,1854.88,73.87,7.7,9979.65,NoIrrigation,1260.0,0.0,0.0,2819.25,8570.4
80fb4f72-39d8-4b19-ac53-e5176181dcb3,1,166,103455,253.5,117.0,117.0,1,4,165.0,0,0.0,0,0,1,0,0,487.4,1939.02,74.54,8.32,7105.8,Drip,1350.0,2100.0,0.0,3300.0,15165.0
847a895e-8c84-4da4-87e0-4181ea5d978d,1,160,70455,252.0,54.0,54.0,1,0,0.0,2,600.0,0,0,1,0,0,504.2,2076.0,72.91,7.69,14012.25,Drip,1320.0,1500.0,510.0,2550.0,13005.0
865a65ed-23f3-47d0-96c6-7d725fc5ed6a,0,174,58620,132.0,48.0,60.0,1,1,269.25,1,305.85,0,0,1,0,0,493.7,1617.94,72.11,5.51,8166.75,Drip,1799.25,1215.0,111.0,2640.0,13486.5
8c88343f-6fa5-4eee-ac4d-c7b6b0f3c19e,1,159,62505,217.5,75.0,90.0,1,1,300.0,2,600.0,0,0,1,0,0,478.7,2102.29,73.41,8.42,12979.95,Drip,1290.0,1800.0,510.0,2625.0,11025.0
9505846a-4621-4b56-9290-de98d4e48416,0,171,61425,189.0,40.5,40.5,1,2,684.75,1,380.55,0,0,1,0,0,499.1,1673.76,76.41,6.7,10238.4,Drip,1216.65,1215.0,193.05,1395.0,12954.45
9588a630-dcac-4a7a-a355-b1ababc871fc,0,166,58830,279.375,37.5,106.875,2,1,548.85,3,1305.45,0,0,1,0,20,505.4,1770.23,75.27,8.33,8286.6,Drip,1002.0,2904.6,695.4,3165.0,12065.85
9b1a3bad-5894-41c9-9925-7ce08670cd3e,1,167,57675,253.5,136.5,97.5,1,2,120.0,0,0.0,1,0,0,0,0,483.5,1919.39,74.59,8.32,8906.85,Sprinkler,1500.0,2250.0,0.0,2925.0,14295.0
9cb320ea-e27d-4e46-81f3-715fd8188f26,1,174,78435,206.25,82.5,82.5,1,3,172.5,2,900.0,1,0,0,0,0,513.9,1791.35,74.93,8.3,9448.2,Sprinkler,1275.0,975.0,570.0,2970.0,14962.5
9e5eb9c8-b688-44bb-9520-8bbfd19b26cf,1,171,63420,204.0,24.0,36.0,1,2,255.0,0,0.0,0,0,1,0,4,426.5,1849.93,75.89,8.36,8432.85,Drip,1500.0,2250.0,0.0,2100.0,14355.0
a01e1a55-59a2-4e37-9470-d863edfee5ff,1,169,93870,206.25,82.5,82.5,1,3,172.5,2,900.0,1,0,0,0,0,537.3,1883.22,74.49,8.3,10050.75,Sprinkler,1275.0,975.0,570.0,2970.0,14962.5
a3164280-e54a-46d6-baaf-fbdaff034e2d,1,169,81960,128.25,128.25,128.25,1,1,150.0,1,401.85,0,0,1,0,33,525.4,1883.09,73.57,8.77,12499.5,Drip,1275.0,1500.0,300.0,3000.0,12225.0
a4e6021d-01cc-480f-92aa-44a381b948d1,0,170,53865,210.0,90.0,60.0,1,2,401.25,1,241.8,0,0,0,1,2,504.2,1684.29,76.4,6.8,10181.85,Flood,1024.5,0.0,622.5,2130.0,12081.75
acf92bd1-ac73-4dbe-96d5-e73613c1b6a7,1,169,72465,128.25,128.25,128.25,1,1,150.0,1,401.85,0,0,1,0,0,525.4,1883.09,73.57,8.77,10935.9,Drip,1275.0,1500.0,300.0,3000.0,14475.0
b01bb35b-829f-453d-87d5-e6fd77f1b786,0,172,55605,189.0,40.5,40.5,1,2,684.75,1,293.55,0,0,1,0,2,499.0,1654.07,76.54,6.7,9978.75,Drip,1000.5,1215.0,151.5,1395.0,12696.75
