,region,yield_ha,yield_ha,yield_ha,yield_ha,yield_ha,cost_ha,cost_ha,cost_ha,cost_ha,cost_ha,profit_ha,profit_ha,profit_ha,profit_ha,profit_ha
,,count,mean,median,min,max,count,mean,median,min,max,count,mean,median,min,max
0,Hebei,26,9516.79,9585.0,7970.1,12200.1,26,11687.77,12171.68,7955.25,14045.7,26,11152.53,10764.39,6113.7,17751.99
1,Shandong,55,10634.52,10721.85,6759.75,14759.1,55,12528.91,12150.0,8570.4,15443.25,55,12993.94,12031.56,1888.92,24516.84
