,region,pest_count,pest_count,pest_count,pest_count,pest_count,pest_cost,pest_cost,pest_cost,pest_cost,pest_cost
,,count,mean,median,min,max,count,mean,median,min,max
0,Hebei,26,1.77,2.0,1,2,26,545.65,530.92,269.25,812.85
1,Shandong,55,1.65,2.0,0,4,55,278.95,255.0,0.0,750.0
