region,yield_baseline,yield_optimal,yield_change,yield_change_pct,profit_baseline,profit_optimal,profit_change,profit_change_pct,input_cost_baseline,input_cost_optimal,input_cost_change,input_cost_change_pct
Hebei,9585.0,12122.73,2537.73,26.48,4081.4,8667.18,4585.78,112.36,19324.42,20451.06,1126.64,5.83
Shandong,10721.85,12603.64,1881.79,17.55,6178.56,10826.62,4648.06,75.23,19275.0,20001.05,726.05,3.77
